"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272669",12.5528421375528,-0.6668166984153,0.495815510544796,-1.34488874235219,0.178661166258462,0.263826466210558
"ENSG00000100197",17.0422025760161,0.294825329977929,0.42827698799684,0.688398719148795,0.491201730207373,0.594993071783886
"ENSG00000188263",24.3899838737515,2.17232821711685,0.400426221171335,5.42503987566626,5.79416033816125e-08,3.06109893735737e-07
"ENSG00000196576",6683.86707882071,0.389694784955117,0.0796280104108954,4.89394100071343,9.88364800829872e-07,4.42683926449724e-06
"ENSG00000070413",2014.34288325335,0.8024594613912,0.0788869263042278,10.1722744057299,2.63678579511349e-24,5.06739120316414e-23
"ENSG00000100056",322.124349155139,-0.0739718707313519,0.12414034813128,-0.595872911949028,0.551260130503921,0.649258293741773
"ENSG00000260924",14.9003704323775,-0.822846799568566,0.463994647256895,-1.77339718126746,0.076162915755348,0.128883134205859
"ENSG00000100075",2855.73212343156,0.419799070789185,0.0976527874341632,4.29889490939734,1.71651833717446e-05,6.32993342850684e-05
"ENSG00000280007",30.7714566942333,0.210229989461273,0.324523098098394,0.647812099333318,0.517106488767235,0.619023683130153
"ENSG00000184979",141.877367886973,-0.812603410859689,0.178067801735751,-4.56344944419304,5.03199313032529e-06,2.01904530062489e-05
"ENSG00000184058",55.9852716246131,1.31154297319326,0.248007326777023,5.28832349526688,1.2344252429464e-07,6.26365818244103e-07
"ENSG00000239900",356.391911397625,-0.324961309972764,0.108553764774765,-2.99355172662151,0.00275750761558645,0.0068311339994298
"ENSG00000100218",20.6686526552052,-1.15167050404588,0.406690491924322,-2.83181074284911,0.00462852353389844,0.01093672791693
"ENSG00000128266",191.214251734464,1.19781238851115,0.143463014832325,8.34927657076718,6.86823390186379e-17,8.32874785180841e-16
"ENSG00000186716",972.051919231071,0.138432608545625,0.0914910062337884,1.51307340736734,0.130261013578013,0.202896963932547
"ENSG00000100116",64.0392288091727,0.107004856810285,0.229685652538281,0.465875232639752,0.641304810298378,0.726523041079527
"ENSG00000100129",2314.21319682799,-0.0309627503259107,0.0822896264350473,-0.37626553512611,0.706719498837402,0.780818998019037
"ENSG00000100139",641.945141015537,0.170330726303204,0.106789932512476,1.59500734100852,0.110710594193012,0.177011166269751
"ENSG00000100412",1040.66534316137,-0.1624913983342,0.0913474908605082,-1.7788271664991,0.0752681018583345,0.127591643426067
"ENSG00000100280",1616.90309473928,0.407576210526412,0.0987425535492584,4.12766528590016,3.66465010011678e-05,0.000128564825587129
"ENSG00000185608",368.514010323729,-0.164934996150824,0.11840558253468,-1.39296638401755,0.163629956277914,0.245220090780625
"ENSG00000099998",32.480591067834,1.02887321394784,0.328010726996046,3.13670599547264,0.00170857364563047,0.00442287644507516
"ENSG00000100068",207.489051314191,-0.0608442921408157,0.13940640728825,-0.43645262312089,0.662508365895629,0.743744916680309
"ENSG00000272977",39.328105840005,0.213447914837146,0.28632011653666,0.745486965495198,0.455977388000069,0.561128732059324
"ENSG00000215193",806.998337641867,-0.106723005648857,0.086035538530237,-1.24045257892294,0.214808043686781,0.306994296669478
"ENSG00000099940",639.789283438963,0.0297693704122735,0.0966723109933596,0.307941023715864,0.758127209146367,0.821441775821429
"ENSG00000099942",1384.35349776489,0.189418756777255,0.0800884232468493,2.36512031449822,0.0180242143673902,0.0368164041567318
"ENSG00000237476",44.5946530596315,-0.818886014374376,0.283649683848557,-2.88696254923938,0.00388980527409542,0.00933917199132706
"ENSG00000099949",338.399943773039,0.0388164629622174,0.117403647668216,0.330623994510914,0.740928519593501,0.807882027491998
"ENSG00000184436",385.132587620805,-0.218033392778438,0.115733854880169,-1.88392059526739,0.0595757169549463,0.104597127012458
"ENSG00000161149",11.9750591260504,-0.0361339123259439,0.498816430833596,-0.0724392984921503,0.942252311252479,0.958008671639909
"ENSG00000100207",1063.03271161437,0.169874832696759,0.0827304197295227,2.0533539325939,0.0400382637170179,0.0742315875331452
"ENSG00000099954",24.9659425486369,2.105488940369,0.391888540786896,5.37267289352546,7.7577985244423e-08,4.02777697862297e-07
"ENSG00000183773",69.8182406735544,-1.52005458088769,0.230095760814778,-6.60618246726981,3.94356789922819e-11,2.87328851112868e-10
"ENSG00000100258",1228.51495895529,0.319227921393072,0.080350512026344,3.97294196816579,7.09903491768159e-05,0.000237269027606864
"ENSG00000025770",506.729258104501,-0.346222978050339,0.10546203703287,-3.28291570873442,0.00102739380672906,0.00277266036613396
"ENSG00000284194",46.8263970875946,0.167454028860532,0.258375738092181,0.648102759558595,0.516918489285823,0.618897124070801
"ENSG00000025708",414.19600500355,1.23629961536255,0.109178136796014,11.3236921937258,1.00162580536754e-29,2.55531729585725e-28
"ENSG00000205560",67.4130834407243,-0.215166590502795,0.221899847770272,-0.969656323178516,0.33221782821582,0.436621415867454
"ENSG00000254413",57.5536443390258,-0.369387651069522,0.245413536241515,-1.5051641271572,0.132281885434375,0.205374673669137
"ENSG00000100288",34.401464852208,-0.475658052694028,0.298083269687062,-1.59572207186734,0.110550858511672,0.176820575712986
"ENSG00000205559",38.0022975337647,-0.263734333854495,0.29586694059209,-0.891395075525197,0.37271725866314,0.479039269623024
"ENSG00000008735",327.733738149162,1.97311410698616,0.129847477949739,15.1956290421745,3.78017323192154e-52,2.37280657902989e-50
"ENSG00000100299",805.335116353702,1.07544007867713,0.0891987719373728,12.056669114595,1.78871744650658e-33,5.34471223314037e-32
